FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
RAMSEY	CROWWING	0.14686023023730393	0.007962962962962963
RICE	CROWWING	0.0646023036015762	0.0035185185185185185
SAINTLOUIS	CROWWING	0.4300057805387865	0.022962962962962963
SCOTT	CROWWING	0.07940010342808664	0.004320987654320987
SHERBURNE	CROWWING	0.11707109384569338	0.006358024691358025
STEARNS	CROWWING	296377.75289606646	1.0
WASHINGTON	CROWWING	2.101445974993774	0.1030246913580247
WRIGHT	CROWWING	0.20095514373076684	0.010864197530864197
GOODHUE	DAKOTA	1.532422906748525	0.07728395061728395
HENNEPIN	DAKOTA	296377.75289606646	1.0
KANDIYOHI	DAKOTA	0.8485057244688179	0.044320987654320985
OLMSTED	DAKOTA	1.7442484036472545	0.08703703703703704
RAMSEY	DAKOTA	10.782339526353224	0.37080246913580245
RICE	DAKOTA	1.9399036924793893	0.0958641975308642
SAINTLOUIS	DAKOTA	98780.38693036011	0.9998148148148148
SCOTT	DAKOTA	110.57179496460265	0.8580246913580247
SHERBURNE	DAKOTA	3.5733528159047165	0.16339506172839507
STEARNS	DAKOTA	0.1871135316968839	0.010123456790123457
WASHINGTON	DAKOTA	24.91036872527207	0.5765432098765432
WRIGHT	DAKOTA	1.1537834740107908	0.059320987654320985
HENNEPIN	GOODHUE	296377.75289606646	1.0
KANDIYOHI	GOODHUE	0.07712196649433473	0.004197530864197531
OLMSTED	GOODHUE	11837.545905526937	0.9984567901234568
RAMSEY	GOODHUE	0.1457127120295854	0.007901234567901235
RICE	GOODHUE	0.4810175323249382	0.025617283950617284
SAINTLOUIS	GOODHUE	0.16638991223466823	0.009012345679012346
SCOTT	GOODHUE	0.0646023036015762	0.0035185185185185185
SHERBURNE	GOODHUE	0.07256738682881436	0.003950617283950617
STEARNS	GOODHUE	0.10678187793345295	0.005802469135802469
WASHINGTON	GOODHUE	0.25304634716386976	0.013641975308641975
WRIGHT	GOODHUE	0.17789729338428772	0.00962962962962963
KANDIYOHI	HENNEPIN	91.80649178162476	0.8338271604938272
OLMSTED	HENNEPIN	7992.407973225066	0.9977160493827161
RAMSEY	HENNEPIN	296377.75289606646	1.0
RICE	HENNEPIN	13.29257052536848	0.4208024691358025
SAINTLOUIS	HENNEPIN	6568.282813113144	0.9972222222222222
SCOTT	HENNEPIN	3.4657720413270363	0.15925925925925927
SHERBURNE	HENNEPIN	25.176527376993754	0.5791358024691358
STEARNS	HENNEPIN	296377.75289606646	1.0
WASHINGTON	HENNEPIN	38.47392441024219	0.677716049382716
